rule,side,return_low,return_high,close_location,relative_volume,minimum_price,horizon,train_n,train_mean_return,train_median_return,train_win_rate,train_profit_factor,train_t_stat,train_worst_trade,train_best_trade,validation_n,validation_mean_return,validation_median_return,validation_win_rate,validation_profit_factor,validation_t_stat,validation_worst_trade,validation_best_trade,test_n,test_mean_return,test_median_return,test_win_rate,test_profit_factor,test_t_stat,test_worst_trade,test_best_trade,sample_size_pass,stable_positive,robust_score
failed_spike_cl0.40_rv10_px3,short,,,0.4,10.0,3.0,60,34,0.22259142949237581,0.3997261992645027,0.8235294117647058,3.1454733622605726,2.6027032950343014,-1.729534121544597,0.8857692254533093,121,0.20601724808174948,0.307990023338369,0.7603305785123967,2.7311744349714417,3.6434148247964053,-4.955121951219512,0.904944742467027,219,0.3262406796398502,0.4625490324417888,0.8127853881278538,4.1943019547089095,7.203795073179056,-6.857825917945238,0.9671212122657082,False,False,0.7324630236008316
failed_spike_cl0.40_rv3_px3,short,,,0.4,3.0,3.0,60,35,0.22892382643665893,0.4039224446119547,0.8285714285714286,3.2714062269146194,2.7486870466023197,-1.729534121544597,0.8857692254533093,130,0.20280127013885235,0.30623640544907066,0.7538461538461538,2.678042794843114,3.767428690071651,-4.955121951219512,0.965048923400578,251,0.34853250786881024,0.47309178743961355,0.8247011952191236,4.830760409508749,8.659976895886482,-6.857825917945238,0.9671212122657082,False,False,0.7267421922855309
failed_spike_cl0.40_rv5_px3,short,,,0.4,5.0,3.0,60,34,0.22259142949237581,0.3997261992645027,0.8235294117647058,3.1454733622605726,2.6027032950343014,-1.729534121544597,0.8857692254533093,127,0.20243915003154342,0.3044827875597723,0.7559055118110236,2.677498204435288,3.6974843292083848,-4.955121951219512,0.965048923400578,245,0.342409301370472,0.4625490324417888,0.8244897959183674,4.674576732236269,8.342712264596829,-6.857825917945238,0.9671212122657082,False,False,0.7197416396342124
failed_spike_cl0.40_rv1.5_px10,short,,,0.4,1.5,10.0,60,31,0.2948838599039798,0.42151694892757985,0.8709677419354839,5.053594741028903,3.5087978883642545,-1.729534121544597,0.8857692254533093,109,0.2068144075073009,0.307990023338369,0.7522935779816514,2.683614920591532,3.34738592914166,-4.955121951219512,0.965048923400578,167,0.3953637048250642,0.5397142791748046,0.8502994011976048,5.160011485339506,7.273071551216342,-6.857825917945238,0.9671212122657082,False,False,0.716764117314306
failed_spike_cl0.40_rv2_px10,short,,,0.4,2.0,10.0,60,31,0.2948838599039798,0.42151694892757985,0.8709677419354839,5.053594741028903,3.5087978883642545,-1.729534121544597,0.8857692254533093,109,0.2068144075073009,0.307990023338369,0.7522935779816514,2.683614920591532,3.34738592914166,-4.955121951219512,0.965048923400578,166,0.3942488855921893,0.539366943508971,0.8493975903614458,5.123441364425767,7.210520581674389,-6.857825917945238,0.9671212122657082,False,False,0.716764117314306
failed_spike_cl0.40_rv3_px10,short,,,0.4,3.0,10.0,60,31,0.2948838599039798,0.42151694892757985,0.8709677419354839,5.053594741028903,3.5087978883642545,-1.729534121544597,0.8857692254533093,109,0.2068144075073009,0.307990023338369,0.7522935779816514,2.683614920591532,3.34738592914166,-4.955121951219512,0.965048923400578,164,0.3963764273617152,0.5413195351305777,0.8475609756097561,5.095745170246548,7.165831669361169,-6.857825917945238,0.9671212122657082,False,False,0.716764117314306
failed_spike_cl0.40_rv10_px5,short,,,0.4,10.0,5.0,60,33,0.22688483309477797,0.4039224446119547,0.8181818181818182,3.1225365426803475,2.5769450937395466,-1.729534121544597,0.8857692254533093,116,0.20105794989153097,0.30623640544907066,0.75,2.6196870773043925,3.414489421203778,-4.955121951219512,0.904944742467027,193,0.3421871403578187,0.47309178743961355,0.8082901554404145,4.503811614465908,7.052102225372678,-6.857825917945238,0.9671212122657082,False,False,0.7090028176577491
failed_spike_cl0.40_rv1.5_px5,short,,,0.4,1.5,5.0,60,34,0.23327720043146932,0.4040664650110341,0.8235294117647058,3.2484694073343943,2.72347663951485,-1.729534121544597,0.8857692254533093,125,0.19807040230061373,0.3044827875597723,0.744,2.5758635346689625,3.543877819206731,-4.955121951219512,0.965048923400578,223,0.3602035999782547,0.47309178743961355,0.820627802690583,5.157983310978561,8.412269243245076,-6.857825917945238,0.9671212122657082,False,False,0.7042092208579153
failed_spike_cl0.40_rv2_px5,short,,,0.4,2.0,5.0,60,34,0.23327720043146932,0.4040664650110341,0.8235294117647058,3.2484694073343943,2.72347663951485,-1.729534121544597,0.8857692254533093,125,0.19807040230061373,0.3044827875597723,0.744,2.5758635346689625,3.543877819206731,-4.955121951219512,0.965048923400578,222,0.3592116175570653,0.46401821911551056,0.8198198198198198,5.127938120248766,8.35364029391106,-6.857825917945238,0.9671212122657082,False,False,0.7042092208579153
failed_spike_cl0.40_rv3_px5,short,,,0.4,3.0,5.0,60,34,0.23327720043146932,0.4040664650110341,0.8235294117647058,3.2484694073343943,2.72347663951485,-1.729534121544597,0.8857692254533093,125,0.19807040230061373,0.3044827875597723,0.744,2.5758635346689625,3.543877819206731,-4.955121951219512,0.965048923400578,219,0.36148763421346336,0.482,0.817351598173516,5.097956935614916,8.298117542134518,-6.857825917945238,0.9671212122657082,False,False,0.7042092208579153
