symbol,event_date,entry_date,previous_close,entry_open,event_open,event_high,event_low,event_close,event_return,opening_gap,intraday_return,close_location,event_volume,event_dollar_volume,prior_20d_avg_dollar_volume,relative_dollar_volume,max_forward_60d_return,max_forward_60d_drawdown,forward_return_1d,above_entry_open_1d,gain_retention_1d,forward_return_2d,above_entry_open_2d,gain_retention_2d,forward_return_3d,above_entry_open_3d,gain_retention_3d,forward_return_5d,above_entry_open_5d,gain_retention_5d,forward_return_10d,above_entry_open_10d,gain_retention_10d,forward_return_20d,above_entry_open_20d,gain_retention_20d,forward_return_40d,above_entry_open_40d,gain_retention_40d,forward_return_60d,above_entry_open_60d,gain_retention_60d,consecutive_days_above_100pct_event_close,consecutive_days_above_90pct_event_close,consecutive_days_above_80pct_event_close,consecutive_days_above_70pct_event_close,days_to_5pct_breach,days_to_10pct_breach,days_to_20pct_breach,days_to_30pct_breach,days_to_40pct_breach
AAL,2020-06-04,2020-06-05,11.850000381469727,21.25,12.850000381469727,18.18000030517578,12.630000114440918,16.719999313354492,0.41097036076894633,0.08438818293742312,0.3011672231127305,0.7369367672709983,399432600.0,6678512797.7314,643672423.2636261,10.375639154881288,-0.0442353192497702,-0.4785882388844209,-0.12517646340762867,0,1.383983829439913,-0.0442353192497702,0,1.7371665174469566,-0.12705885943244488,0,1.375770087283739,-0.32329411226160387,0,0.5195072459681305,-0.22400001077090992,0,0.9527721575603478,-0.4117647058823529,0,0.13347017681556522,-0.4767058877383962,0,-0.14989746530152173,-0.36047058105468754,0,0.35728955908513044,4,4,13,23,5.0,5.0,14.0,24.0,
AAOI,2023-08-04,2023-08-07,6.590000152587891,11.069999694824219,8.369999885559082,11.289999961853027,8.050000190734863,11.010000228881836,0.6707131978681689,0.2701061747733322,0.3154122317107311,0.9135803232249735,31770800.0,349796515.27175903,33239408.57598543,10.523548109230726,0.3983739809382294,-0.3794037872673879,0.11833789121323912,1,1.30995471988946,0.1011743375280072,1,1.2669681744645722,0.0984643344748708,1,1.2601809046787433,0.11924125428076593,1,1.3122172150725417,0.15627827855492238,1,1.40497735994473,0.25925925606853917,1,1.6628957694403916,0.018066916752758733,1,1.0588235801796273,-0.36043359359654625,0,0.11085967481000952,26,26,44,44,27.0,27.0,45.0,45.0,
AAOI,2024-11-08,2024-11-11,17.899999618530273,27.850000381469727,19.5,27.80500030517578,18.6299991607666,27.760000228881836,0.5508380346636645,0.0893854980764015,0.4235897553272736,0.9950953601437569,19430500.0,539390684.4472885,49152554.46352005,10.973807777327472,0.5809694138673216,-0.11885096662852201,0.015798941760531315,1,1.0537526018090795,0.024775602319801582,1,1.0791075698135983,-0.02118492439879649,0,0.9492900639909624,-0.037702015440825964,0,0.9026368222722595,0.36409339885481007,1,2.037525437761632,0.29838417781392645,1,1.8519268862632219,0.16229797086187703,1,1.4675454784620503,0.06319569855564056,1,1.1876268019220502,2,50,60,60,51.0,51.0,,,
AAOI,2026-02-27,2026-03-02,53.689998626708984,107.55000305175781,65.93000030517578,84.30999755859375,65.56800079345703,84.2300033569336,0.5688211121508946,0.22797545150946985,0.27756716164190864,0.9957318207519404,24886200.0,2096164709.5413208,251771264.71351624,8.325670969347874,1.0743840053277363,-0.21348215771614454,-0.046861931869047635,0,1.5985591338565073,-0.11352865055699901,0,1.3637849135616464,-0.07289636210900152,0,1.5068760094925242,-0.11129707932172384,0,1.3716436383812445,-0.09986057822792904,0,1.4119185413619166,-0.08684336310795204,0,1.4577601035439083,0.35546252573457493,1,3.0153891908683605,0.6515108328886696,1,4.057956034559103,60,60,60,60,,,,,
AAP,2025-05-22,2025-05-23,30.564794540405273,48.31210644386121,42.04490014058001,48.849009900984775,40.62941052568502,47.99971389770508,0.5704248832509451,0.37559897826234545,0.141629870381776,0.8966742824678454,27499800.0,1319982532.24411,66787220.80046654,19.763998507853607,0.3493658038167904,-0.0648616991757972,-0.01656907419096465,0,0.972004784201676,0.0022224848833851674,1,1.0240761350144334,0.06506346715637279,1,1.1982082983122375,-0.031521624894395917,0,0.9305713134532754,0.06082018641072984,1,1.1864501807750403,0.04930284546018182,1,1.1545356653964443,0.3317123662286279,1,1.9370915550176082,0.14280117580292262,1,1.4136192433167825,0,60,60,60,22.0,,,,
ABTC,2025-05-15,2025-05-16,56.32500076293945,79.125,58.57500076293945,103.5,51.75,80.25,0.4247669580646085,0.03994673714199837,0.37003839444718145,0.5507246376811594,2004637.0,160872119.25,24498998.56243906,6.566477353757759,0.39336492890995256,-0.2417061611374408,0.31753554502369674,1,2.0031348282270067,0.26066350710900466,1,1.815047047934443,0.22274881516587675,1,1.6896551944060672,0.2511848341232228,1,1.783699084552349,0.13744075829383884,1,1.4075235239672215,-0.11090049321805884,0,0.586206819578765,0.21327014218009488,1,1.6583072310239733,0.3270142180094786,1,2.0344827916091006,8,19,22,60,9.0,20.0,23.0,,
ABTC,2025-08-28,2025-08-29,90.75,129.75,100.5,135.0,91.5,129.0,0.42148760330578505,0.1074380165289257,0.28358208955223874,0.8620689655172413,655387.0,84544923.0,6391738.2375,13.227219241235394,0.07630053099409917,-0.48786129519659205,-0.10982658959537572,0,0.6470588235294118,-0.20231213872832365,0,0.3333333333333333,-0.0705202429740186,0,0.7803921169704862,-0.1445086705202312,0,0.5294117647058824,-0.08786128343644628,0,0.7215685875587214,-0.23930638190179432,0,0.20784305747038398,-0.3502889938207491,0,-0.16862737119587418,-0.48786129519659205,0,-0.6352941974315768,0,0,3,29,1.0,1.0,4.0,30.0,34.0
ABUS,2020-07-23,2020-07-24,2.819999933242798,7.980000019073486,2.9100000858306885,6.480000019073486,2.6600000858306885,6.199999809265137,1.1985815446937198,0.03191494848171739,1.1305840640534845,0.9267015144760337,109113500.0,676503679.1882515,6541546.231239438,103.416479112779,-0.3784461119935122,-0.7030075338478194,-0.3784461119935122,0,0.6331361489345899,-0.43984965169077317,0,0.48816565605635764,-0.49624060509798673,0,0.3550296129288334,-0.4611528595918334,0,0.4378699147272643,-0.4523809680308173,0,0.4585798843698064,-0.5814536458413316,0,0.15384615384615385,-0.60651627852142,0,0.0946746104730514,-0.6152882298364657,0,0.0739644997544218,0,0,1,2,1.0,1.0,2.0,3.0,12.0
ABUS,2021-12-01,2021-12-02,3.200000047683716,4.96999979019165,5.150000095367432,6.5,4.130000114440918,4.610000133514404,0.4406250202562656,0.6093750058207661,-0.10485435958317213,0.20253166339721343,320631900.0,1478113101.8089771,4926225.635412931,300.0498172847247,-0.11871221341198113,-0.513078434918681,-0.1327967555883255,0,0.787233920231912,-0.1649898851992906,0,0.6737588580528575,-0.253521087572539,0,0.3617020988780969,-0.16700200377152308,0,0.6666664975754861,-0.17706230880340257,0,0.6312057097357122,-0.2193158393893414,0,0.48226952153452274,-0.49094565831114245,0,-0.47517733014833186,-0.3561367841505846,0,0.0,0,2,23,29,1.0,3.0,24.0,30.0,35.0
ABVC,2021-11-01,2021-11-02,25.399999618530273,51.0,82.5,116.9000015258789,57.099998474121094,60.29999923706055,1.3740157536486493,2.2480315448435317,-0.26909091833866006,0.05351171571295413,10414880.0,628017256.0540771,1739005.616446495,361.135841146606,-0.12745098039215685,-0.5078431297751034,-0.12745098039215685,0,0.547277953875063,-0.1921568477855009,0,0.4527221007767609,-0.22941177966547943,0,0.39828079571525327,-0.27450980392156865,0,0.332378238059082,-0.30196081423291976,0,0.2922635807186398,-0.40392157610724955,0,0.14326647721065397,-0.2980392306458717,0,0.2979942616677955,-0.5078431297751034,0,-0.008595966771909684,0,0,0,1,1.0,1.0,1.0,2.0,6.0
